Date,Time,Interest,Unemployment,Inflation
2010.10.01,00:00,0.19,9.4,0.6
2010.11.01,00:00,0.19,9.8,0.8
2010.12.01,00:00,0.18,9.3,0.8
2011.01.01,00:00,0.17,9.1,1.0
2011.02.01,00:00,0.16,9.0,1.1
2011.03.01,00:00,0.14,9.0,1.2
2011.04.01,00:00,0.1,9.1,1.3
2011.05.01,00:00,0.09,9.0,1.5
2011.06.01,00:00,0.09,9.1,1.6
2011.07.01,00:00,0.07,9.0,1.8
2011.08.01,00:00,0.1,9.0,2.0
2011.09.01,00:00,0.08,9.0,2.0
2011.10.01,00:00,0.07,8.8,2.1
2011.11.01,00:00,0.08,8.6,2.2
2011.12.01,00:00,0.07,8.5,2.2
2012.01.01,00:00,0.08,8.3,2.3
2012.02.01,00:00,0.1,8.3,2.2
2012.03.01,00:00,0.13,8.2,2.3
2012.04.01,00:00,0.14,8.2,2.3
2012.05.01,00:00,0.16,8.2,2.3
2012.06.01,00:00,0.16,8.2,2.2
2012.07.01,00:00,0.16,8.2,2.1
2012.08.01,00:00,0.13,8.1,1.9
2012.09.01,00:00,0.14,7.8,2.0
2012.10.01,00:00,0.16,7.8,2.0
2012.11.01,00:00,0.16,7.7,1.9
2012.12.01,00:00,0.16,7.9,1.9
2013.01.01,00:00,0.14,8.0,1.9
2013.02.01,00:00,0.15,7.7,2.0
2013.03.01,00:00,0.14,7.5,1.9
2013.04.01,00:00,0.15,7.6,1.7
2013.05.01,00:00,0.11,7.5,1.7
2013.06.01,00:00,0.09,7.5,1.6
2013.07.01,00:00,0.09,7.3,1.7
2013.08.01,00:00,0.08,7.3,1.8
2013.09.01,00:00,0.08,7.2,1.7
2013.10.01,00:00,0.09,7.2,1.7
2013.11.01,00:00,0.08,6.9,1.7
2013.12.01,00:00,0.09,6.7,1.7
2014.01.01,00:00,0.07,6.6,1.6
2014.02.01,00:00,0.07,6.7,1.6
2014.03.01,00:00,0.08,6.7,1.7
2014.04.01,00:00,0.09,6.2,1.8
2014.05.01,00:00,0.09,6.3,2.0
2014.06.01,00:00,0.1,6.1,1.9
2014.07.01,00:00,0.09,6.2,1.9
2014.08.01,00:00,0.09,6.2,1.7
2014.09.01,00:00,0.09,5.9,1.7
2014.10.01,00:00,0.09,5.7,1.8
2014.11.01,00:00,0.09,5.8,1.7
2014.12.01,00:00,0.12,5.6,1.6
2015.01.01,00:00,0.11,5.7,1.6
2015.02.01,00:00,0.11,5.5,1.7
2015.03.01,00:00,0.11,5.4,1.8
2015.04.01,00:00,0.12,5.4,1.8
2015.05.01,00:00,0.12,5.5,1.7
2015.06.01,00:00,0.13,5.3,1.8
2015.07.01,00:00,0.13,5.2,1.8
2015.08.01,00:00,0.14,5.1,1.8
2015.09.01,00:00,0.14,5.0,1.9
2015.10.01,00:00,0.12,5.0,1.9
2015.11.01,00:00,0.12,5.0,2.0
2015.12.01,00:00,0.24,5.0,2.1
2016.01.01,00:00,0.34,4.9,2.2
2016.02.01,00:00,0.38,4.9,2.3
2016.03.01,00:00,0.36,5.0,2.2
2016.04.01,00:00,0.37,5.0,2.1
2016.05.01,00:00,0.37,4.7,2.2
2016.06.01,00:00,0.38,4.9,2.2
2016.07.01,00:00,0.39,4.9,2.2
2016.08.01,00:00,0.4,4.9,2.3
2016.09.01,00:00,0.4,4.9,2.2
2016.10.01,00:00,0.4,4.8,2.1
2016.11.01,00:00,0.41,4.6,2.1
2016.12.01,00:00,0.54,4.7,2.2
2017.01.01,00:00,0.65,4.8,2.3
2017.02.01,00:00,0.66,4.7,2.2
2017.03.01,00:00,0.79,4.4,2.4
2017.04.01,00:00,0.9,4.4,2.2
2017.05.01,00:00,0.91,4.4,1.9
2017.06.01,00:00,1.04,4.3,1.6
2017.07.01,00:00,1.15,4.3,1.7
2017.08.01,00:00,1.16,4.4,1.9
2017.09.01,00:00,1.15,4.3,2.2
2017.10.01,00:00,1.15,4.2,2.0
2017.11.01,00:00,1.16,4.2,2.2
2017.12.01,00:00,1.3,4.1,2.1
2018.01.01,00:00,1.41,4.0,2.1
2018.02.01,00:00,1.42,4.1,2.2
2018.03.01,00:00,1.51,4.0,2.4
2018.04.01,00:00,1.69,4.0,2.5
2018.05.01,00:00,1.7,3.8,2.8
2018.06.01,00:00,1.82,4.0,2.9
2018.07.01,00:00,1.91,3.8,2.9
2018.08.01,00:00,1.91,3.8,2.7
2018.09.01,00:00,1.95,3.7,2.3
2018.10.01,00:00,2.19,3.8,2.5
2018.11.01,00:00,2.2,3.8,1.9
2018.12.01,00:00,2.27,3.9,2.4
2019.01.01,00:00,2.4,4.0,1.6
2019.02.01,00:00,2.4,3.8,1.5
2019.03.01,00:00,2.41,3.8,1.9
2019.04.01,00:00,2.42,3.7,2.0
2019.05.01,00:00,2.39,3.6,1.8
2019.06.01,00:00,2.38,3.6,1.8
2019.07.01,00:00,2.4,3.7,1.7
2019.08.01,00:00,2.13,3.6,1.7
2019.09.01,00:00,2.04,3.5,1.8
2019.10.01,00:00,1.83,3.6,2.1
2019.11.01,00:00,1.55,3.6,2.3
2019.12.01,00:00,1.55,3.6,1.8
2020.01.01,00:00,1.55,3.6,2.5
2020.02.01,00:00,1.58,3.5,2.3
2020.03.01,00:00,0.65,4.4,1.5
2020.04.01,00:00,0.05,14.8,0.3
2020.05.01,00:00,0.05,13.2,0.1
2020.06.01,00:00,0.08,11.0,0.6
2020.07.01,00:00,0.09,10.2,1.4
2020.08.01,00:00,0.1,8.4,1.3
2020.09.01,00:00,0.09,7.8,1.4
2020.10.01,00:00,0.09,6.8,1.2
2020.11.01,00:00,0.09,6.7,1.2
2020.12.01,00:00,0.09,6.7,1.2
2021.01.01,00:00,0.09,6.4,1.4
2021.02.01,00:00,0.08,6.2,1.7
2021.03.01,00:00,0.07,6.1,2.6
2021.04.01,00:00,0.07,6.1,4.2
2021.05.01,00:00,0.06,5.8,5.0
2021.06.01,00:00,0.08,5.9,5.4
2021.07.01,00:00,0.1,5.4,5.4
2021.08.01,00:00,0.09,5.1,5.3
2021.09.01,00:00,0.08,4.7,5.4
2021.10.01,00:00,0.08,4.5,6.2
2021.11.01,00:00,0.08,4.1,6.8
2021.12.01,00:00,0.08,3.9,7.0
2022.01.01,00:00,0.08,4.0,7.5
2022.02.01,00:00,0.08,3.8,7.9
2022.03.01,00:00,0.2,3.6,8.5
2022.04.01,00:00,0.33,3.7,8.3
2022.05.01,00:00,0.77,3.6,8.6
2022.06.01,00:00,1.21,3.6,9.1
2022.07.01,00:00,1.68,3.5,8.2
2022.08.01,00:00,2.33,3.6,8.3
2022.09.01,00:00,2.56,3.5,8.2
2022.10.01,00:00,3.08,3.6,8.0
2022.11.01,00:00,3.78,3.6,7.1
2022.12.01,00:00,4.1,3.5,6.5
2023.01.01,00:00,4.33,3.4,6.4
2023.02.01,00:00,4.57,3.6,6.0
2023.03.01,00:00,4.65,3.5,5.0
2023.04.01,00:00,4.83,3.4,4.9
2023.05.01,00:00,5.06,3.7,4.0
2023.06.01,00:00,5.08,3.6,3.2
2023.07.01,00:00,5.12,3.5,3.7
2023.08.01,00:00,5.33,3.8,3.7
2023.09.01,00:00,5.33,3.8,3.2
2023.10.01,00:00,5.33,3.8,3.1
2023.11.01,00:00,5.33,3.7,3.4
2023.12.01,00:00,5.33,3.7,4.1
2024.01.01,00:00,5.33,3.7,3.1
2024.02.01,00:00,5.33,3.9,3.2
2024.03.01,00:00,5.33,3.8,3.5
2024.04.01,00:00,5.33,3.9,3.4
2024.05.01,00:00,5.33,4.0,3.3
2024.06.01,00:00,5.33,4.1,3.0
2024.07.01,00:00,5.33,4.3,2.9
2024.08.01,00:00,5.33,4.2,2.5
2024.09.01,00:00,5.13,4.1,2.4
